PipeAge,PipeDiameter,PipeLength,PipeBreakage,PipeWallLos,ExpectedPipeAge,Material_CI,Material_Concrete,Material_Ductile Iron,Material_PVC,Material_Polyethene,Material_Steel,PipeRUL
33,2766,1000.086505,1089.567703,3,167,0,0,0,0,1,0,16
55,3056,1843.056773,870.7685676,44,145,1,0,0,0,0,0,9
3,3511,2241.546193,332.9654118,2,197,0,0,0,0,1,0,7
145,946,5375.81931,1028.069725,9,55,0,0,0,1,0,0,35
37,3300,251.3260756,305.6941839,5,163,0,0,1,0,0,0,21
127,37,4581.478938,223.2384952,20,73,0,0,0,0,0,0,13
113,907,2877.036771,662.7304964,11,87,0,1,0,0,0,0,16
129,429,2632.807846,527.5410244,28,71,1,0,0,0,0,0,23
55,1216,4816.444892,429.4307444,18,145,0,0,0,0,0,0,30
5,2527,1850.098813,1055.585849,4,195,0,0,1,0,0,0,30
61,3329,6177.50524,352.9362299,15,139,0,1,0,0,0,0,33
74,3090,177.8850245,270.6555488,1,126,0,0,0,0,1,0,25
18,3392,4737.046058,319.2024025,36,182,1,0,0,0,0,0,2
101,1829,843.2519287,290.5366748,9,99,0,0,0,1,0,0,30
11,2696,617.8004182,207.6007074,9,189,0,0,0,1,0,0,16
126,3289,2999.017238,125.1457232,23,74,1,0,0,0,0,0,28
152,964,3818.774329,667.9665114,8,48,0,0,0,0,0,1,10
103,617,1396.950875,16.67243809,19,97,0,0,0,0,0,0,44
53,2379,363.4374596,849.4807716,33,147,1,0,0,0,0,0,18
48,1703,3743.645721,1080.957336,43,152,1,0,0,0,0,0,27
114,1961,4673.808705,826.4137641,25,86,1,0,0,0,0,0,16
9,1043,5516.809811,543.6286902,24,191,1,0,0,0,0,0,14
11,1407,1271.28538,1042.932952,39,189,1,0,0,0,0,0,37
135,1047,426.177173,730.8954568,44,65,1,0,0,0,0,0,35
7,430,1591.018451,984.6257978,39,193,1,0,0,0,0,0,17
148,2400,2229.219679,819.0073229,15,52,0,1,0,0,0,0,36
35,2078,285.2312905,116.6079301,36,165,1,0,0,0,0,0,39
43,1535,1329.922852,682.1756223,1,157,0,0,0,0,1,0,43
147,1367,3357.682012,192.0936102,3,53,0,0,0,0,1,0,1
100,2532,2312.780417,44.28479545,26,100,1,0,0,0,0,0,31
84,420,5922.964465,433.2689585,8,116,0,0,0,0,0,1,2
152,2028,669.640843,501.9020028,37,48,1,0,0,0,0,0,11
13,1797,2939.03632,938.0657514,22,187,1,0,0,0,0,0,24
8,2805,4162.101734,817.7455446,35,192,1,0,0,0,0,0,15
69,1817,1164.284692,821.3802233,23,131,1,0,0,0,0,0,44
93,3525,5548.275287,681.1459238,21,107,1,0,0,0,0,0,14
2,3853,727.1007091,377.376976,2,198,0,0,0,0,1,0,7
53,1137,943.3906296,390.1727543,36,147,1,0,0,0,0,0,21
95,2241,6034.415087,290.2361622,7,105,0,0,0,0,0,1,31
112,856,4170.946606,1043.155215,28,88,1,0,0,0,0,0,34
43,2759,337.5197693,154.7478874,1,157,0,0,0,0,1,0,25
145,3891,4730.357736,531.1289116,25,55,1,0,0,0,0,0,38
42,3765,1410.59945,657.5849276,39,158,1,0,0,0,0,0,13
87,1243,1541.167988,512.2194802,5,113,0,0,1,0,0,0,4
87,1536,899.3063356,85.73677859,37,113,1,0,0,0,0,0,4
145,979,5299.998358,888.7148359,29,55,1,0,0,0,0,0,2
1,3387,2400.323042,550.2091216,20,199,0,0,0,0,0,0,21
131,636,1347.145066,111.4335115,17,69,0,0,0,0,0,0,34
48,1157,2760.513794,137.586204,41,152,1,0,0,0,0,0,33
151,3241,1005.937774,424.861428,6,49,0,0,0,0,0,1,19
140,1756,1618.99393,165.1467485,4,60,0,0,1,0,0,0,6
91,1792,3105.488296,84.81228732,5,109,0,0,1,0,0,0,7
14,2141,6129.718576,522.9543518,7,186,0,0,0,0,0,1,33
51,1675,5066.687675,222.1783753,30,149,1,0,0,0,0,0,13
21,1221,82.49528673,83.74375872,16,179,0,0,0,0,0,0,3
131,2622,392.2817917,971.299444,37,69,1,0,0,0,0,0,35
109,2730,5271.027874,184.6782494,44,91,1,0,0,0,0,0,35
89,2089,4436.485354,918.0212769,16,111,0,0,0,0,0,0,3
32,2540,3554.103359,525.4057924,32,168,1,0,0,0,0,0,44
52,3082,2506.551662,343.0834977,26,148,1,0,0,0,0,0,22
2,1227,1581.034662,162.5740003,18,198,0,0,0,0,0,0,6
13,245,3927.764113,14.08522344,36,187,1,0,0,0,0,0,14
115,2545,6019.491797,886.6127707,29,85,1,0,0,0,0,0,14
97,3484,6305.404295,1049.278971,24,103,1,0,0,0,0,0,3
95,73,2569.830558,137.8051534,41,105,1,0,0,0,0,0,14
42,3838,5099.535499,992.9639285,36,158,1,0,0,0,0,0,3
17,1974,3702.225639,831.0191526,42,183,1,0,0,0,0,0,38
85,2095,6371.382613,550.5650111,9,115,0,0,0,1,0,0,34
129,3704,6504.914014,399.7906372,39,71,1,0,0,0,0,0,28
38,1657,694.0861555,392.9203057,12,162,0,1,0,0,0,0,36
99,1916,3751.304555,284.1160873,18,101,0,0,0,0,0,0,30
36,606,6281.189341,541.5168402,20,164,0,0,0,0,0,0,35
122,1431,5252.757308,105.7589631,38,78,1,0,0,0,0,0,42
100,324,312.3151639,556.6972235,5,100,0,0,1,0,0,0,33
68,1699,2812.721944,882.6188432,15,132,0,1,0,0,0,0,33
115,162,6200.764507,939.0948127,1,85,0,0,0,0,1,0,13
109,1337,6089.763218,771.9292561,37,91,1,0,0,0,0,0,13
15,2765,3870.786085,1087.987449,22,185,1,0,0,0,0,0,30
75,2329,1868.863626,740.6990004,36,125,1,0,0,0,0,0,19
127,939,5545.362664,223.7086478,22,73,1,0,0,0,0,0,13
72,1353,4937.75049,995.1429765,29,128,1,0,0,0,0,0,9
49,1047,4651.656396,700.0610674,30,151,1,0,0,0,0,0,15
27,62,5526.51937,955.7640344,25,173,1,0,0,0,0,0,23
119,854,1937.400217,752.8068412,17,81,0,0,0,0,0,0,33
126,2801,1147.120374,665.0404726,13,74,0,1,0,0,0,0,17
87,1417,1361.622473,301.2282855,32,113,1,0,0,0,0,0,38
56,2761,3652.670259,331.8043215,8,144,0,0,0,0,0,1,41
24,3550,5786.580641,724.6681842,39,176,1,0,0,0,0,0,25
132,732,2897.963168,720.704073,44,68,1,0,0,0,0,0,30
39,2657,5637.759044,246.0024826,36,161,1,0,0,0,0,0,29
62,2874,5961.436595,134.526537,24,138,1,0,0,0,0,0,41
58,773,2092.432055,515.618578,40,142,1,0,0,0,0,0,9
108,1091,48.2390796,422.4419858,31,92,1,0,0,0,0,0,12
32,3165,3042.890959,483.4456726,33,168,1,0,0,0,0,0,24
69,2562,5.851968424,381.9210776,13,131,0,1,0,0,0,0,20
93,1219,3057.493927,73.04848154,27,107,1,0,0,0,0,0,8
13,2116,1536.187383,745.2974454,36,187,1,0,0,0,0,0,36
147,2935,3681.497433,1012.872344,41,53,1,0,0,0,0,0,42
120,3498,4757.872096,951.2833471,25,80,1,0,0,0,0,0,3
34,3845,3694.469399,567.8700241,39,166,1,0,0,0,0,0,43
102,2316,5632.857914,475.3111974,11,98,0,1,0,0,0,0,1
43,436,5924.692029,592.6940481,15,157,0,1,0,0,0,0,33
7,3633,46.68205313,765.4429893,28,193,1,0,0,0,0,0,25
147,2731,5912.895643,389.4521361,31,53,1,0,0,0,0,0,39
108,1528,2691.605477,768.4428177,27,92,1,0,0,0,0,0,3
80,1780,6099.099545,404.3274341,7,120,0,0,0,0,0,1,28
56,3461,652.9841746,966.3878385,33,144,1,0,0,0,0,0,30
83,3158,2135.636788,122.4407232,41,117,1,0,0,0,0,0,20
124,837,4742.877719,947.8484221,23,76,1,0,0,0,0,0,35
103,178,1255.532622,351.4224725,25,97,1,0,0,0,0,0,40
120,3819,4718.12381,772.5722674,15,80,0,1,0,0,0,0,7
59,3162,1520.710684,19.43881896,5,141,0,0,1,0,0,0,2
53,2120,4885.653353,743.7985038,15,147,0,1,0,0,0,0,26
117,2053,533.5681527,246.2107298,16,83,0,0,0,0,0,0,13
91,860,1950.014044,864.8078717,13,109,0,1,0,0,0,0,17
69,3087,4436.796661,295.3479264,34,131,1,0,0,0,0,0,32
84,3828,1145.170222,489.548898,39,116,1,0,0,0,0,0,39
96,80,2923.013904,1000.107119,31,104,1,0,0,0,0,0,25
107,3009,1783.782848,1080.697895,41,93,1,0,0,0,0,0,4
95,1854,1111.90867,383.2383436,33,105,1,0,0,0,0,0,42
37,2889,4422.66529,671.8346008,17,163,0,0,0,0,0,0,14
123,79,3912.799255,175.3585717,40,77,1,0,0,0,0,0,19
118,873,6231.950713,722.7026395,2,82,0,0,0,0,1,0,31
4,2878,6037.751597,1015.978456,12,196,0,1,0,0,0,0,17
74,267,5762.622209,2.965385133,8,126,0,0,0,0,0,1,38
20,2335,1258.753652,498.5541347,11,180,0,1,0,0,0,0,2
37,1385,5117.67348,394.4782008,9,163,0,0,0,1,0,0,2
8,226,1852.293434,345.6002598,34,192,1,0,0,0,0,0,42
133,694,514.5448027,156.3516755,43,67,1,0,0,0,0,0,40
138,30,1598.040874,697.7288816,10,62,0,0,0,1,0,0,8
18,1702,6275.906364,1056.36789,26,182,1,0,0,0,0,0,2
147,1973,2784.187463,95.90741089,23,53,1,0,0,0,0,0,41
57,1557,3842.728373,542.1489355,17,143,0,0,0,0,0,0,15
46,627,38.58281527,619.2840616,29,154,1,0,0,0,0,0,25
133,658,5901.871225,689.3349988,37,67,1,0,0,0,0,0,15
37,2886,3115.641108,288.237813,24,163,1,0,0,0,0,0,11
97,3394,5459.60398,259.0367013,28,103,1,0,0,0,0,0,22
60,2958,6022.821965,289.7049317,21,140,1,0,0,0,0,0,40
116,943,2647.835664,1039.38798,5,84,0,0,1,0,0,0,29
63,143,2968.02549,943.9283203,30,137,1,0,0,0,0,0,33
43,2859,5195.79235,105.6175195,17,157,0,0,0,0,0,0,25
118,1169,5906.675307,28.29219898,19,82,0,0,0,0,0,0,3
127,1876,252.9536736,124.4019456,18,73,0,0,0,0,0,0,43
29,165,3595.103853,717.3750344,26,171,1,0,0,0,0,0,7
31,3013,6414.480044,821.9010369,7,169,0,0,0,0,0,1,2
118,2767,5909.886876,300.3039122,25,82,1,0,0,0,0,0,24
43,3579,3342.363492,1005.951658,27,157,1,0,0,0,0,0,13
103,2349,4684.124508,129.136201,23,97,1,0,0,0,0,0,23
103,3706,4365.069106,332.2239236,40,97,1,0,0,0,0,0,43
147,2747,2045.061847,655.3879037,14,53,0,1,0,0,0,0,28
52,1210,377.8643936,824.0552901,1,148,0,0,0,0,1,0,5
105,3107,4676.25722,1012.949102,6,95,0,0,0,0,0,1,27
40,2907,2205.133762,93.45374178,18,160,0,0,0,0,0,0,23
9,485,5357.15034,585.1272317,11,191,0,1,0,0,0,0,3
41,2053,590.8021641,799.1568442,40,159,1,0,0,0,0,0,29
75,1651,5064.021797,374.8754361,12,125,0,1,0,0,0,0,32
14,2343,3068.931645,723.06235,25,186,1,0,0,0,0,0,40
107,3826,1016.384399,66.75037147,23,93,1,0,0,0,0,0,18
121,1644,4989.261726,378.7302694,26,79,1,0,0,0,0,0,41
101,2947,501.99232,5.669599472,13,99,0,1,0,0,0,0,35
143,112,2449.370453,658.7781297,17,57,0,0,0,0,0,0,17
110,1892,3007.047684,518.6573378,9,90,0,0,0,1,0,0,35
82,1462,4487.862939,37.80911065,18,118,0,0,0,0,0,0,2
105,905,2328.806065,516.645116,2,95,0,0,0,0,1,0,23
72,573,3790.869375,456.4853494,19,128,0,0,0,0,0,0,2
128,3494,353.1161986,188.6793768,36,72,1,0,0,0,0,0,29
64,2819,1445.638189,290.6762768,2,136,0,0,0,0,1,0,11
9,40,5828.656698,820.4171244,29,191,1,0,0,0,0,0,39
150,1030,5652.465412,228.4291909,28,50,1,0,0,0,0,0,4
16,2540,4827.155003,611.8588884,7,184,0,0,0,0,0,1,10
39,2857,6037.951221,164.2533272,43,161,1,0,0,0,0,0,37
47,1359,6259.300785,681.1140082,23,153,1,0,0,0,0,0,25
115,3736,1017.034031,689.0955663,18,85,0,0,0,0,0,0,14
142,1758,480.4964193,638.5207052,29,58,1,0,0,0,0,0,11
91,3502,6481.976292,1029.064905,19,109,0,0,0,0,0,0,44
39,3802,5926.236966,1073.996501,22,161,1,0,0,0,0,0,33
13,1628,4908.19855,247.4991142,33,187,1,0,0,0,0,0,11
47,273,1839.649181,343.8827864,42,153,1,0,0,0,0,0,38
91,1185,4037.89091,295.7492366,36,109,1,0,0,0,0,0,28
137,1863,5016.723534,83.02366919,21,63,1,0,0,0,0,0,17
93,1363,1170.112468,990.2062283,4,107,0,0,1,0,0,0,3
34,3554,2905.465774,16.32901007,12,166,0,1,0,0,0,0,20
86,2932,473.8734295,368.373088,12,114,0,1,0,0,0,0,17
92,487,2137.16326,454.9923997,1,108,0,0,0,0,1,0,41
59,936,6522.866893,204.1396684,27,141,1,0,0,0,0,0,15
43,1275,4159.54163,1058.851787,17,157,0,0,0,0,0,0,11
27,2243,5870.894251,977.9020613,25,173,1,0,0,0,0,0,39
43,459,1428.843035,906.9588341,20,157,0,0,0,0,0,0,42
4,3607,4019.157675,787.9163492,27,196,1,0,0,0,0,0,39
93,2305,4160.408225,326.5351042,7,107,0,0,0,0,0,1,35
138,1832,1830.391692,667.4558862,14,62,0,1,0,0,0,0,11
90,2585,3514.260486,908.5758736,5,110,0,0,1,0,0,0,12
92,3290,6220.510935,993.041358,34,108,1,0,0,0,0,0,9
112,534,274.2883811,549.2085769,21,88,1,0,0,0,0,0,12
55,2440,3715.165788,363.3999991,4,145,0,0,1,0,0,0,28
146,2784,4524.392146,129.9341202,32,54,1,0,0,0,0,0,44
98,2643,5245.378312,1009.711288,32,102,1,0,0,0,0,0,22
67,3899,1685.738873,765.0620636,20,133,0,0,0,0,0,0,41
111,1597,674.4708104,477.7180321,14,89,0,1,0,0,0,0,27
18,1527,5152.527275,242.4606923,7,182,0,0,0,0,0,1,17
30,2403,6370.187076,9.725218014,29,170,1,0,0,0,0,0,14
113,2267,2550.263503,1096.357568,40,87,1,0,0,0,0,0,35
111,3450,3326.637115,710.4858441,12,89,0,1,0,0,0,0,1
106,1179,2238.026254,6.280982553,9,94,0,0,0,1,0,0,1
25,876,4449.875775,255.9059224,24,175,1,0,0,0,0,0,17
64,1570,1194.242766,648.8652008,22,136,1,0,0,0,0,0,26
105,542,839.4930718,291.4922081,13,95,0,1,0,0,0,0,13
93,1612,464.6162563,378.7570867,23,107,1,0,0,0,0,0,12
128,3587,3194.127982,187.1985783,31,72,1,0,0,0,0,0,1
68,2618,497.3775867,880.9130076,39,132,1,0,0,0,0,0,30
113,2366,884.8459362,493.0381428,18,87,0,0,0,0,0,0,35
127,2950,5443.867855,463.9418448,17,73,0,0,0,0,0,0,22
42,3153,5190.450125,107.1499943,29,158,1,0,0,0,0,0,20
56,435,1960.567291,817.8937008,40,144,1,0,0,0,0,0,24
104,2452,6311.855052,201.7470234,11,96,0,1,0,0,0,0,9
124,2912,3393.917988,458.4325018,30,76,1,0,0,0,0,0,27
44,322,4567.42385,386.5057823,10,156,0,0,0,1,0,0,23
16,633,6412.121152,432.0213898,3,184,0,0,0,0,1,0,20
6,2831,6414.406369,832.5497385,1,194,0,0,0,0,1,0,4
86,2597,5227.208845,996.2067358,11,114,0,1,0,0,0,0,41
7,355,4588.932289,893.4049396,42,193,1,0,0,0,0,0,25
22,1762,5902.463696,257.8154496,10,178,0,0,0,1,0,0,9
41,3835,2154.237381,825.0188482,22,159,1,0,0,0,0,0,35
92,1336,5477.247557,551.889854,24,108,1,0,0,0,0,0,18
152,3752,4290.986854,349.3830948,33,48,1,0,0,0,0,0,24
28,2823,4788.66799,715.4011645,27,172,1,0,0,0,0,0,43
6,2754,2804.99421,760.3207357,42,194,1,0,0,0,0,0,27
78,3529,4750.1157,191.3173175,28,122,1,0,0,0,0,0,16
12,3822,1596.122501,603.4689559,38,188,1,0,0,0,0,0,19
146,644,1453.35882,980.0603335,38,54,1,0,0,0,0,0,24
5,2467,910.7463615,1055.703661,18,195,0,0,0,0,0,0,28
116,3471,5515.240432,155.5667277,16,84,0,0,0,0,0,0,22
7,3731,2556.387326,274.5378786,16,193,0,0,0,0,0,0,28
68,1493,900.5340796,393.3676974,19,132,0,0,0,0,0,0,35
80,2935,2556.503149,618.3753476,8,120,0,0,0,0,0,1,20
12,925,4706.350506,610.3017485,13,188,0,1,0,0,0,0,38
105,2931,1318.647932,937.8369144,26,95,1,0,0,0,0,0,26
111,1659,1752.041262,227.9981499,32,89,1,0,0,0,0,0,24
27,2829,1470.306408,270.6367327,25,173,1,0,0,0,0,0,24
77,1419,521.5013348,920.3543158,19,123,0,0,0,0,0,0,24
110,460,4530.262457,594.2060554,31,90,1,0,0,0,0,0,5
81,2278,5955.669608,230.8445419,4,119,0,0,1,0,0,0,31
109,3895,4461.008317,62.67938973,17,91,0,0,0,0,0,0,16
69,3157,1515.362693,547.0504585,3,131,0,0,0,0,1,0,15
85,649,3603.527728,175.1580264,3,115,0,0,0,0,1,0,1
98,3288,280.4427465,91.13724856,37,102,1,0,0,0,0,0,17
4,717,731.7844962,507.5850338,24,196,1,0,0,0,0,0,33
88,1753,5430.938737,608.7466692,36,112,1,0,0,0,0,0,3
93,3322,3948.461645,4.644432535,37,107,1,0,0,0,0,0,43
101,1373,2356.955812,453.1578427,34,99,1,0,0,0,0,0,32
19,1456,5967.090388,270.030273,8,181,0,0,0,0,0,1,39
38,1083,4341.442538,796.1889313,4,162,0,0,1,0,0,0,35
65,748,1021.220581,71.58892788,14,135,0,1,0,0,0,0,2
89,3105,5603.799378,1029.304929,42,111,1,0,0,0,0,0,13
142,610,549.2253221,854.4141058,42,58,1,0,0,0,0,0,13
152,560,76.66004253,420.0729443,34,48,1,0,0,0,0,0,9
9,1664,354.2044479,537.048632,1,191,0,0,0,0,1,0,42
150,1194,4425.179994,412.7307406,14,50,0,1,0,0,0,0,17
31,571,5473.402929,798.1331677,29,169,1,0,0,0,0,0,6
31,2367,5638.035934,640.4533153,17,169,0,0,0,0,0,0,7
18,1885,6236.185617,977.9887157,14,182,0,1,0,0,0,0,33
53,2894,398.166058,110.7472689,8,147,0,0,0,0,0,1,27
44,639,1755.071906,750.0674375,36,156,1,0,0,0,0,0,1
115,634,446.3919816,525.3007604,19,85,0,0,0,0,0,0,35
97,2738,127.0073619,274.0369173,38,103,1,0,0,0,0,0,17
68,1727,3073.722106,152.174449,42,132,1,0,0,0,0,0,6
27,405,2040.901658,198.0554615,22,173,1,0,0,0,0,0,23
90,959,6345.385147,966.2939436,11,110,0,1,0,0,0,0,10
26,834,1786.586193,178.9485158,12,174,0,1,0,0,0,0,2
29,1869,2250.572146,841.8778022,36,171,1,0,0,0,0,0,5
10,2026,3929.581103,308.1873164,20,190,0,0,0,0,0,0,9
133,3296,4253.586013,438.3733062,13,67,0,1,0,0,0,0,5
86,1707,4266.68488,1075.997767,26,114,1,0,0,0,0,0,6
105,2061,4490.286581,617.7678746,40,95,1,0,0,0,0,0,38
148,1054,4459.892448,871.5478848,42,52,1,0,0,0,0,0,33
126,2995,2052.2335,700.7720984,28,74,1,0,0,0,0,0,28
123,3892,3470.682428,44.93180685,39,77,1,0,0,0,0,0,2
56,2061,1069.708212,39.22496877,30,144,1,0,0,0,0,0,23
108,2978,2868.086377,1015.396397,1,92,0,0,0,0,1,0,38
94,2466,5608.212824,649.9245052,27,106,1,0,0,0,0,0,26
123,1511,1734.264055,103.532936,42,77,1,0,0,0,0,0,11
17,2138,6550.034699,136.1840796,43,183,1,0,0,0,0,0,40
124,623,4156.097885,352.6990425,21,76,1,0,0,0,0,0,31
104,2899,4257.490065,945.8245215,24,96,1,0,0,0,0,0,35
105,2439,3660.184331,1048.470791,10,95,0,0,0,1,0,0,40
109,3316,6422.855297,304.4548891,22,91,1,0,0,0,0,0,39
47,3828,2110.689155,794.4749545,41,153,1,0,0,0,0,0,8
94,380,4682.791809,801.6036418,17,106,0,0,0,0,0,0,27
67,1704,2140.981748,735.015614,44,133,1,0,0,0,0,0,14
101,454,5059.160294,1010.12256,11,99,0,1,0,0,0,0,15
85,3460,4835.961647,477.0912517,28,115,1,0,0,0,0,0,38
10,2443,4801.121376,187.8568362,36,190,1,0,0,0,0,0,31
72,625,1632.329443,669.6244958,20,128,0,0,0,0,0,0,14
5,1543,5037.56623,971.3141482,9,195,0,0,0,1,0,0,19
12,1718,376.2323443,776.6831642,15,188,0,1,0,0,0,0,28
54,3479,2031.22869,905.2804094,27,146,1,0,0,0,0,0,38
55,854,3140.977124,122.1799266,2,145,0,0,0,0,1,0,44
133,838,4916.924904,555.4000563,31,67,1,0,0,0,0,0,18
49,1138,1016.787709,1086.027068,14,151,0,1,0,0,0,0,10
3,2506,3763.028418,1094.207253,6,197,0,0,0,0,0,1,18
148,3729,6398.381661,1.791648271,18,52,0,0,0,0,0,0,11
14,3842,2157.930776,258.2089036,6,186,0,0,0,0,0,1,27
92,1378,2149.393591,631.8481783,6,108,0,0,0,0,0,1,44
90,2391,6260.40794,1008.280374,25,110,1,0,0,0,0,0,40
